datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,11.65,4.44,71258.77300,245.40000,540.19328,270.83012,347.33172,7216.96,35357.05
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,21.99,0.94,75283.73100,530.34182,668.36788,182.72388,463.18732,14214.65,3474.36
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,12.38,0.31,77988.18800,62.29085,667.75680,273.46112,370.39980,7972.02,594.63
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,10.74,0.00,78541.72100,1129.26539,652.43027,267.41281,358.49186,6722.41,0.00
5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,9.01,4.81,78646.64000,212.87842,661.22373,290.47227,346.50145,5742.37,8783.32
5/31/2025 10:00:00 PM,5/31/2025 6:00:00 PM,5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,13.18,0.00,78866.35000,853.57753,519.34719,333.12014,245.95500,7656.28,0.00
5/31/2025 9:00:00 PM,5/31/2025 5:00:00 PM,5/31/2025 10:00:00 PM,5/31/2025 6:00:00 PM,8.10,4.07,78456.27500,272.54902,572.50936,262.58688,368.81472,5092.15,6715.20
5/31/2025 8:00:00 PM,5/31/2025 4:00:00 PM,5/31/2025 9:00:00 PM,5/31/2025 5:00:00 PM,7.26,5.65,77260.31100,534.93885,383.69473,238.49094,192.73076,3137.43,5657.55
5/31/2025 7:00:00 PM,5/31/2025 3:00:00 PM,5/31/2025 8:00:00 PM,5/31/2025 4:00:00 PM,0.22,0.00,76250.57400,0.00000,385.99958,352.19223,91.19278,98.41,0.00
5/31/2025 6:00:00 PM,5/31/2025 2:00:00 PM,5/31/2025 7:00:00 PM,5/31/2025 3:00:00 PM,1.02,0.00,75666.67800,0.00950,386.86161,364.02968,70.14429,447.94,0.00
