datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr
2/18/2026 4:00:00 AM,2/17/2026 11:00:00 PM,2/18/2026 5:00:00 AM,2/18/2026 12:00:00 AM,56.62,0.08,88470.26600,224.42363,681.34026,284.95104,490.15306,43858.46,55.77
2/18/2026 3:00:00 AM,2/17/2026 10:00:00 PM,2/18/2026 4:00:00 AM,2/17/2026 11:00:00 PM,102.14,0.10,92337.46800,71.52169,688.31237,285.68836,496.34952,80686.57,75.31
2/18/2026 2:00:00 AM,2/17/2026 9:00:00 PM,2/18/2026 3:00:00 AM,2/17/2026 10:00:00 PM,149.35,1.00,96284.29700,319.42340,691.84913,368.13616,417.47988,115410.64,674.46
2/18/2026 1:00:00 AM,2/17/2026 8:00:00 PM,2/18/2026 2:00:00 AM,2/17/2026 9:00:00 PM,466.16,1.00,99046.15800,110.58567,673.97391,486.53362,281.22071,358756.13,624.13
2/18/2026 12:00:00 AM,2/17/2026 7:00:00 PM,2/18/2026 1:00:00 AM,2/17/2026 8:00:00 PM,910.47,0.50,100057.73800,2559.58012,658.07130,511.77765,240.03774,685555.84,369.85
2/17/2026 11:00:00 PM,2/17/2026 6:00:00 PM,2/18/2026 12:00:00 AM,2/17/2026 7:00:00 PM,947.80,1.00,100020.25900,0.47100,746.06681,412.68782,351.71510,727080.40,838.71
2/17/2026 10:00:00 PM,2/17/2026 5:00:00 PM,2/17/2026 11:00:00 PM,2/17/2026 6:00:00 PM,99.87,1.00,96622.11800,195.37462,726.63297,332.60011,421.33758,75440.85,722.73
2/17/2026 9:00:00 PM,2/17/2026 4:00:00 PM,2/17/2026 10:00:00 PM,2/17/2026 5:00:00 PM,32.44,0.08,92878.55200,531.77216,677.09858,393.96300,375.88204,24884.75,63.25
2/17/2026 8:00:00 PM,2/17/2026 3:00:00 PM,2/17/2026 9:00:00 PM,2/17/2026 4:00:00 PM,42.69,0.08,90836.70000,83.67640,488.74683,274.66346,280.89843,23494.94,52.73
2/17/2026 7:00:00 PM,2/17/2026 2:00:00 PM,2/17/2026 8:00:00 PM,2/17/2026 3:00:00 PM,35.02,0.04,90543.82200,109.13933,449.74534,247.17763,264.86144,17043.42,31.93
2/17/2026 6:00:00 PM,2/17/2026 1:00:00 PM,2/17/2026 7:00:00 PM,2/17/2026 2:00:00 PM,105.77,0.04,91827.90500,8.41916,480.56809,280.31495,265.06623,57209.67,26.39
2/17/2026 5:00:00 PM,2/17/2026 12:00:00 PM,2/17/2026 6:00:00 PM,2/17/2026 1:00:00 PM,127.54,0.04,94502.35000,14.34549,462.02688,284.12597,242.15572,68352.56,23.73
2/17/2026 4:00:00 PM,2/17/2026 11:00:00 AM,2/17/2026 5:00:00 PM,2/17/2026 12:00:00 PM,24.85,0.56,97333.10800,3557.13766,492.09581,301.48976,258.50114,13702.71,281.27
