datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr
6/1/2023 3:00:00 AM,5/31/2023 11:00:00 PM,6/1/2023 4:00:00 AM,6/1/2023 12:00:00 AM,20.98,3.88,81768.75900,2910.49112,538.34398,223.03185,366.34677,12230.05,4837.31
6/1/2023 2:00:00 AM,5/31/2023 10:00:00 PM,6/1/2023 3:00:00 AM,5/31/2023 11:00:00 PM,24.08,0.34,88887.93900,1211.33750,530.95003,202.26909,382.42121,14089.43,373.23
6/1/2023 1:00:00 AM,5/31/2023 9:00:00 PM,6/1/2023 2:00:00 AM,5/31/2023 10:00:00 PM,14.52,0.00,95581.79800,1142.01699,535.43455,378.88824,209.47338,8571.84,0.00
6/1/2023 12:00:00 AM,5/31/2023 8:00:00 PM,6/1/2023 1:00:00 AM,5/31/2023 9:00:00 PM,14.31,0.45,98880.71400,6801.59709,579.40893,437.25254,187.72763,8970.92,826.00
5/31/2023 11:00:00 PM,5/31/2023 7:00:00 PM,6/1/2023 12:00:00 AM,5/31/2023 8:00:00 PM,7.25,0.00,102015.77200,9655.77642,671.06618,438.62253,198.77379,4567.79,0.00
5/31/2023 10:00:00 PM,5/31/2023 6:00:00 PM,5/31/2023 11:00:00 PM,5/31/2023 7:00:00 PM,51.67,0.00,104597.99400,3420.13156,657.51777,351.41931,254.50979,31556.82,0.00
5/31/2023 9:00:00 PM,5/31/2023 5:00:00 PM,5/31/2023 10:00:00 PM,5/31/2023 6:00:00 PM,49.33,1.68,104908.94800,13666.07015,698.74274,353.99702,296.06586,32119.68,2570.73
5/31/2023 8:00:00 PM,5/31/2023 4:00:00 PM,5/31/2023 9:00:00 PM,5/31/2023 5:00:00 PM,10.12,0.00,103427.57800,5270.49256,484.05330,270.31936,166.97234,4318.05,0.00
5/31/2023 7:00:00 PM,5/31/2023 3:00:00 PM,5/31/2023 8:00:00 PM,5/31/2023 4:00:00 PM,10.39,0.00,101177.60400,2081.51586,449.05135,255.61756,134.52331,3874.74,0.00
5/31/2023 6:00:00 PM,5/31/2023 2:00:00 PM,5/31/2023 7:00:00 PM,5/31/2023 3:00:00 PM,1.90,0.92,98691.12900,2716.17329,469.14534,256.18072,150.37031,816.31,674.62
5/31/2023 5:00:00 PM,5/31/2023 1:00:00 PM,5/31/2023 6:00:00 PM,5/31/2023 2:00:00 PM,6.56,1.93,96238.13600,440.54285,446.67944,223.12689,176.82246,2665.21,1566.31
5/31/2023 4:00:00 PM,5/31/2023 12:00:00 PM,5/31/2023 5:00:00 PM,5/31/2023 1:00:00 PM,5.48,1.13,93236.61300,45.16046,478.95379,259.06022,173.23389,2357.97,766.52
5/31/2023 3:00:00 PM,5/31/2023 11:00:00 AM,5/31/2023 4:00:00 PM,5/31/2023 12:00:00 PM,9.99,1.14,90450.83400,230.36781,473.75376,201.86372,232.37552,4335.77,1270.04
5/31/2023 2:00:00 PM,5/31/2023 10:00:00 AM,5/31/2023 3:00:00 PM,5/31/2023 11:00:00 AM,20.89,1.30,87528.60200,3602.55390,452.64326,253.29434,168.25683,8756.42,979.28
5/31/2023 1:00:00 PM,5/31/2023 9:00:00 AM,5/31/2023 2:00:00 PM,5/31/2023 10:00:00 AM,21.62,0.20,84547.36100,363.28401,465.72615,268.96942,162.76929,9323.96,189.14
5/31/2023 12:00:00 PM,5/31/2023 8:00:00 AM,5/31/2023 1:00:00 PM,5/31/2023 9:00:00 AM,16.90,0.27,82028.96500,1359.42744,474.40507,260.86214,178.37987,7418.30,305.69
5/31/2023 11:00:00 AM,5/31/2023 7:00:00 AM,5/31/2023 12:00:00 PM,5/31/2023 8:00:00 AM,20.06,0.86,78522.53200,954.57123,686.53085,201.30904,405.83547,12204.26,2192.53
5/31/2023 10:00:00 AM,5/31/2023 6:00:00 AM,5/31/2023 11:00:00 AM,5/31/2023 7:00:00 AM,26.77,2.25,73762.24000,6332.85592,661.13832,216.37937,429.20750,17455.04,4591.57
5/31/2023 9:00:00 AM,5/31/2023 5:00:00 AM,5/31/2023 10:00:00 AM,5/31/2023 6:00:00 AM,17.26,2.64,69237.38100,207.49302,622.39480,218.86372,390.68523,10548.42,4337.96
5/31/2023 8:00:00 AM,5/31/2023 4:00:00 AM,5/31/2023 9:00:00 AM,5/31/2023 5:00:00 AM,9.84,0.00,66725.05500,48.08463,442.12761,221.53453,207.66859,4220.58,0.00
